id,r2_2A3
1e85a73e35ac,0.15
322c9c1067d9,0.1496
738a72c1b74f,0.1496
cb1bed4c1481,0.1495
6241320fd528,0.1482
a7f905c85826,0.1481
2f15cb06cbd9,0.1476
6a0e57827d9c,0.1467
b80cd3cdb4fb,0.1465
37904c6f2ae3,0.1463
bcbb90fdf98e,0.1449
93d6c387f964,0.1448
436fe10a05e0,0.1447
1454d3dbb150,0.1446
50f64e9fb9a4,0.1446
338d4b3c7116,0.1444
9e0ac52f43ba,0.1444
aed2d5f1d300,0.1437
322ee9116b3d,0.1437
c3682482346e,0.1435
195c029ca548,0.1435
354e2fcc4e60,0.1425
a464095bd31e,0.1415
981b3857beac,0.1414
86a1cacf9066,0.1414
45396efb0494,0.1412
f76d39742a7c,0.141
6052d1114a06,0.1406
19fa666c94fc,0.1399
e35b8b55e94a,0.139
a7da9d6fb1da,0.1386
5ba8cef3d1e4,0.1377
d099a09ce011,0.1374
b2f505214c10,0.1367
02279975034a,0.1366
30b030eea19b,0.1363
a48c3b315d41,0.1357
a87c751ed45b,0.1349
c046540aa91d,0.1337
b1e2826979c2,0.1336
7b94a6a1df0e,0.1335
9b1eca5f9226,0.1333
02de5c3f993f,0.1332
bb0d0df68390,0.1326
0e37c5e5f01d,0.1325
7811af522890,0.1325
546d5c685bef,0.1324
d3ef26b85947,0.1318
7a9293486d97,0.1308
58137202b5b4,0.1302
2bee0398b551,0.1296
2e4ce4dbae59,0.1295
3f698a144bca,0.1294
098342e543e2,0.1294
ae23c26a8cbd,0.1292
1e797de5c083,0.1286
8b68e9abe8aa,0.1286
5e0281f0246a,0.1285
c591fa71bb11,0.1285
ff96d78b7e0d,0.1281
59a12a95126e,0.1278
79f7012ebb52,0.1268
40d8205cdad7,0.1266
d19d81248552,0.1265
4f9eda99cde6,0.1265
81edcf69dfef,0.126
b19072f54f89,0.1251
529b0831528d,0.1244
d3612afacdc5,0.1237
d650786e7dc9,0.1237
bb01df8d703b,0.1222
a72ebb251bb1,0.1212
d5974bbfda63,0.1208
0c7b05723ff5,0.1208
5388caa0d511,0.1203
e45bb40a3928,0.1202
00e45c9e547c,0.12
352450886141,0.1194
de5c004b5efe,0.1192
39e8caa37991,0.1185
4e4d31be64f0,0.1183
0bda9b074f07,0.1176
31e72e639f5d,0.1175
4f0aed872c6c,0.1165
bec26a1dea3a,0.1163
0dc1021303e4,0.1153
95e264f8cf2e,0.115
a817637e81e9,0.1148
57a00337ad60,0.1144
de6940eee92f,0.1143
695c23d4c199,0.114
50b1141e5150,0.1136
06d8f8d302a5,0.1122
e300a1143395,0.1116
5921425de489,0.1115
f555e40f7ad0,0.1113
685865a2d55d,0.111
afed1bcc37bc,0.1109
0647c7be3050,0.11
a9b330124429,0.1095
98af71953ed9,0.1094
bc25634e0826,0.1091
4870fd150862,0.1083
abb237fdd038,0.1078
2ca909559a95,0.107
52f2101e5c3b,0.1069
3befddf282ed,0.1068
f08bdb1ecd13,0.1063
a8e3bba2929f,0.1057
df72d4b15855,0.1057
896f526d2c25,0.1042
e382158a13fe,0.1041
86e1c3227a97,0.1039
75a0f7b30c82,0.1036
24d04ff3a723,0.1031
ed6ad75abedf,0.1027
0702b6feb176,0.1024
c0609c5c55f3,0.1022
f26bd39ab515,0.1014
5619654e9069,0.1005
621443e2bfdf,0.1002
ac733682c62c,0.1002
1c1314a9db51,0.1
629e6ad7d23b,0.0996
028fc52205db,0.0995
b40cc0bab36f,0.0994
5673b3e877e6,0.0991
b9bf6b84d760,0.099
e1d8d4d94f29,0.0988
f26c5a695f8c,0.0985
e21b7ede2680,0.0984
501c016c9a3f,0.098
518b08d68c7c,0.098
9eaa3bdfae8c,0.098
b54438d1c3c5,0.0973
9a38a1d5d8d3,0.0966
1a27a34c798a,0.0965
fd836cfafb39,0.0963
57b33ad79b69,0.0957
51d542a50bd5,0.0949
b0d418bd4be9,0.0945
8f1ab2cad02e,0.0936
3141d5dade7e,0.0931
53c3151c90c7,0.093
d4fd0468c52b,0.091
c21c872620cd,0.0908
c03ea59062a9,0.0899
1f6e9a34c9f1,0.0899
09f3896352b0,0.0897
4740289f9590,0.0895
ca41e22d957d,0.0893
6fa5d6cb03a6,0.0888
498924157a86,0.0887
be636440d0d3,0.0883
a59712119a27,0.0882
a105da6fb88b,0.0882
cd7a1a0a5c3d,0.0876
ddeaf0559146,0.087
626a69ada12f,0.0869
c13c6fc5778e,0.0869
815e31557d0c,0.0865
6ad38441746e,0.0858
9f854c30b265,0.0857
459724caff15,0.0853
5f331a663036,0.0845
fc6d59de2eff,0.0843
71477769ac59,0.0843
456c8a25edc7,0.0836
07379ac25ed2,0.0826
f908e12815c4,0.0822
1b792eb7fb8d,0.082
40c2ef241570,0.0818
0c412af625cd,0.0815
89abb2bf99ec,0.0811
dcddb2784a08,0.0799
aaf6444af0ef,0.0796
1b539d667356,0.0791
4a8688db37f5,0.0787
44a1541f7ae1,0.0785
85c60e799911,0.0782
ae439829882a,0.078
461f267ca909,0.0775
a8e19f561f7f,0.0771
337918c3da9f,0.0755
c6bbbe7cbe6b,0.0753
b53276643679,0.0739
c00a5cac3ad9,0.0733
d1e26e45b6c5,0.0731
36ff552513f6,0.0727
a3893b4f21a6,0.0726
ddabf7b52fe5,0.072
9e06190123d9,0.072
94e593118640,0.0718
ed8e2fed10d0,0.0717
42bfbed146f1,0.0705
c60f65e4acbf,0.07
04e6ca7b1728,0.0695
3422b61c98a5,0.0692
deac3cfadaa0,0.0684
dc0462914903,0.0683
f4b845719ebd,0.0682
a6d84b5b2828,0.0681
353e4a907cc4,0.068
5f3205aa89c6,0.068
7a70e2c0756e,0.0679
308bd7bcaa08,0.0676
f75c66d9dc59,0.0665
2b924ed817bb,0.0661
956a136e40f4,0.0661
a8931909fa60,0.0661
b68020fd12bc,0.0656
eb934515d3e4,0.0654
f5dcef1a00a4,0.0653
939f861e5f4d,0.0644
ae28d6d31bfd,0.0638
c344c0ef5406,0.0635
840ee20ee969,0.0623
b2eac13f7c60,0.0621
187b7bf40b85,0.0612
3473b63d496d,0.0611
6edd5fbbf357,0.0597
3657a5d5a64f,0.0595
736b064b5eaa,0.0593
153e5385673f,0.0591
27a5423cbd14,0.0585
f2983286f0c7,0.0584
290631d0916c,0.0582
12ebd7f0fcac,0.0576
a099f2fdfcd6,0.0564
897b0641c764,0.056
8b216706a0fa,0.0555
68af3357403a,0.0553
2bab51322573,0.0551
7df24ae10ff5,0.0551
aae579e014e6,0.055
2ecd17d7f3e9,0.0547
89d188ad1d74,0.0537
ee70bed2904a,0.0536
1f169d8615a7,0.0536
e8e374484cb7,0.0531
df92b4610092,0.0528
8178803dba6d,0.0527
1bfb306c73f6,0.0523
205cdc36dce3,0.0516
ff322a9cec43,0.0509
a2b0d8982e48,0.0507
fda3e0e29614,0.0502
61d2344f0b9a,0.0497
736585cec8ae,0.0495
3173999ece37,0.0483
0f567548a32a,0.0475
9f8ae18ca4ca,0.0467
5f32132cc2b8,0.0466
7a92ca818d41,0.0455
7b98e28b736b,0.045
8dcfc28ea014,0.045
c437e532559e,0.0443
3747a1739027,0.0442
d680681af315,0.0441
3f1ed4de9886,0.0437
f48d509af6d2,0.0429
0bd78492f293,0.0428
ecdf2c2773ac,0.0425
4374d1cdc462,0.042
28b20b9becf1,0.0414
1be1b8c5702b,0.0414
9a0c80fdd98e,0.0412
1a438c42a22f,0.0408
ddd21eb1a052,0.0407
7bc9fd28db4b,0.0402
bb7be7748121,0.0401
eebfcdf716e9,0.0398
5e87e29fde1e,0.0392
240d2884796c,0.0389
92a54c5fff37,0.0388
ffa616da2392,0.0386
71b33df22eaa,0.0379
9d0eeca228fb,0.0376
44f931b5b4b8,0.0375
42051c9e99b0,0.0373
2b62e4ca3027,0.0368
364e1df4d151,0.0357
a8ef24b26f7f,0.035
9253f3eb630e,0.035
d0a6cdf7bd4d,0.0346
5c6c981f7ade,0.0346
083678306e43,0.0338
0462b7e8f5b4,0.0336
f6ce509d0b09,0.0335
2831a2e85e48,0.0332
942efc5a7b37,0.0331
1654ce8e8403,0.0325
626f4b9cb14f,0.0322
a6770985842a,0.0315
c30e5bd9fc40,0.0311
0c383272db86,0.0309
09c9786dcfe3,0.0308
32ef8e35c775,0.0304
a523b436777b,0.0304
6ed3326b3e66,0.0301
852f834e1f0d,0.0298
78fe2ff469ca,0.0297
385252ffc747,0.0296
cead6b5abd11,0.0294
092fc236b322,0.0293
1e836cc89b38,0.0293
04d9e3e4ea60,0.0288
ddda504265ab,0.0283
85e3a56de77f,0.0279
e7c1a9def3cd,0.0273
df31e246b8db,0.0272
e46b13a03600,0.0271
126669473a81,0.0268
aa7bb4f04de6,0.0266
4872cb00698c,0.0261
278135a51e0d,0.0255
9049dba8cc13,0.0251
24f7c33a4e0d,0.0249
6ef28f1f3b0e,0.0248
05f945e0b2af,0.0246
144b7b6d93b3,0.0243
9b7ec7a6d189,0.0242
c7b468ffd93e,0.0238
22786d4a3dd9,0.0226
690346b9f566,0.0222
0647f47c4d91,0.0218
1c0e6d9e52a7,0.0209
153ade6e60a1,0.0209
38c885bca0d9,0.0197
530ce36d1fe6,0.0181
6f70bd269156,0.018
4e514cb27186,0.018
5ed5eaa18d52,0.0174
43bb21e0e0c7,0.0171
08c7a8a8891d,0.0167
fe84a463a00e,0.0165
4a4ee340d220,0.0163
0362a19e2df6,0.016
af5247d8d2ec,0.0152
c5a7dfd446a7,0.0148
b8d20b7bd949,0.0148
0c59f8624b76,0.0142
0564c579c7bd,0.014
7f657049c95e,0.0139
7da7fa6f759e,0.0135
590d88ca2011,0.0134
12ca897abfb3,0.0125
6463eb798a77,0.0117
c222eda3a296,0.0113
7c3ee80b6cc2,0.0107
a359ad954c3e,0.0106
6e469ab82abb,0.0104
e881ca681d21,0.0099
02bc1ed7c270,0.0099
333527f8d8f5,0.0098
d90b9586c5f4,0.0098
1c1c65ba6b8e,0.0097
8935f23bb927,0.0096
a0c72d41e9fd,0.009
8e6ceccf25f4,0.009
3537aa310bd9,0.0088
f5ac168e8fb5,0.0086
237e2ee32cec,0.008
393122ccae00,0.0078
965c5feb26a9,0.0076
775d4081f3e2,0.0074
52cb9f3a99c0,0.0073
76dd2d47dddf,0.0072
8bf09558e430,0.0072
75013b0ea501,0.0069
285964f5535b,0.0067
44bcc4361533,0.0059
ba39d657e100,0.0058
3170e2da5b0c,0.0058
73ba46590d5f,0.0057
b16ef9b7af1d,0.0055
088adb9815ef,0.0051
5f96e87fe990,0.0047
e5edb546862d,0.004
2feec9853286,0.0039
7531d4b8f152,0.0037
48858bdb3e5f,0.0036
0eaeb3912618,0.0025
d1ded7cad65c,0.0015
e4f690dc95ac,0.0012
6217123260da,0.0005
d379c200301b,0.0004
d4c4e9fb13d4,0.0001
4c65ed7307e3,-0.0012
465c48ba7c4d,-0.0029
2bc654bfbebb,-0.0041
813528ddce65,-0.0063
4a921c570592,-0.0106
8d7cd34350a7,-0.0106
5d6a5874623f,-0.0119
d409803c6b80,-0.012
fd764c1bead1,-0.0154
f5f45e19b446,-0.0167
02421f8ee828,-0.0225
1a1db45c2fa4,-0.0225
ac980bcf60ee,-0.0229
898ba7ea64bc,-0.0231
e696d7165b8b,-0.0243
62bdbd768a29,-0.0249
04a418402a57,-0.0269
3949d252bce0,-0.0305
d9797ef884e2,-0.0348
61176b83200c,-0.0375
f3d26dd601ef,-0.0394
0e3981f43389,-0.0407
8e69931bfc1f,-0.0422
e82f1115523d,-0.0455
90b72b9da8b2,-0.0509
384c35537930,-0.0535
02b2ed218c5d,-0.054
74a04d029f8b,-0.055
aaef816c4508,-0.0566
f5361e0fe42f,-0.0592
55db6eab103c,-0.0654
1aec33eec8dc,-0.0679
1e5cd612b62f,-0.0684
ba4b7a9e3b9d,-0.0712
e15728a1ed12,-0.0713
349ed6cb36f6,-0.0811
a5a87905649f,-0.0857
884db2cd082c,-0.0891
de29996fa2a7,-0.0915
a7df32745087,-0.0938
b55d26fdac1a,-0.0964
c3927bef4d52,-0.0967
ce83415556af,-0.0977
8cf4b44da9c3,-0.0993
89f99373f2a0,-0.1013
8294bded6d88,-0.1036
8df32c391e19,-0.104
d81c6ed4af21,-0.1045
e57b7f040a29,-0.109
38d834066cc6,-0.109
ad539451fc2d,-0.1108
8a71ce001ebc,-0.1132
4d4a8c2d42c2,-0.1208
a9779c9c4819,-0.1262
0a51b2404c6f,-0.127
63c6fef1f140,-0.1285
2d9df0cf2825,-0.1343
8370fe887830,-0.1344
c87a99fafa12,-0.1349
ca42d1522f1c,-0.1355
37f2538d4b97,-0.1372
54b9afcaa424,-0.1388
2904429c27b8,-0.1417
83bfc16bff2d,-0.1417
5c90eac7b822,-0.1423
e6a6f7930f4e,-0.1433
3a4ef052b849,-0.144
c2440c6a9277,-0.1484
23c0f6e2bdb5,-0.1502
efc43f7542e8,-0.152
26830e17f43a,-0.1531
1c11d27b1e5f,-0.1535
ac0aca0b1ebf,-0.1596
c65e2257c30a,-0.1617
3ba9197f81ea,-0.1621
34deab1cfd6f,-0.1637
8a68a34c9b70,-0.1664
89a42d1c5045,-0.1721
066f2b6f8134,-0.1751
9157d597a83b,-0.1758
a1364737dc36,-0.1861
b4f806bbd706,-0.1885
3d583d2d8eee,-0.1892
f8e8491d10fd,-0.1894
91366f65d45d,-0.2
cce03fe26bb3,-0.2021
670c9c163de1,-0.2048
1f7c6920e223,-0.2082
4138c8704ac9,-0.2113
d156660db86d,-0.2124
8dcc41be8371,-0.2138
93a72d16b391,-0.2162
621327bdac53,-0.2197
11341372ae75,-0.2209
08475c2feb3f,-0.2212
ca4cada297f4,-0.2244
277049037cee,-0.2265
e221fdf3b2c7,-0.2271
eed66b473955,-0.2298
cf1d2b117cb9,-0.2305
d569d4a4f857,-0.2311
1e3c7e654cf3,-0.2331
7e4b7cc3a475,-0.2342
fee659a3e51e,-0.2351
02d6ffd367e4,-0.2352
dd9f87a0a521,-0.2373
448289605cbe,-0.2377
766cc5632689,-0.2377
1ee690775f66,-0.2385
fcb59eb4e548,-0.2416
185483c6debd,-0.2419
